order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sell_price
1,"2023-03-01 00:00:00","Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,2,5.20,254.80
2,"2023-08-15 00:00:00","Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,3,21.90,708.10
3,"2023-01-10 00:00:00","Second Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Labels,OFF-LA-10000240,2,0.50,9.50
4,"2022-06-18 00:00:00","Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,Furniture,Tables,FUR-TA-10000577,5,19.20,940.80
5,"2022-07-13 00:00:00","Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,"Office Supplies",Storage,OFF-ST-10000760,2,1.00,19.00
6,"2022-03-13 00:00:00","Not Available",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,FUR-FU-10001487,7,1.50,48.50
7,"2022-12-28 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Art,OFF-AR-10002833,4,0.30,9.70
8,"2022-01-25 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,TEC-PH-10002275,6,45.50,864.50
9,"2023-03-23 00:00:00","Not Available",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Binders,OFF-BI-10003910,3,0.40,19.60
10,"2023-05-16 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Appliances,OFF-AP-10002892,5,3.30,106.70
11,"2023-03-31 00:00:00","Not Available",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,FUR-TA-10001539,9,51.30,1658.70
12,"2023-12-25 00:00:00","Not Available",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,TEC-PH-10002033,4,27.30,882.70
13,"2022-02-11 00:00:00","Standard Class",Consumer,"United States",Concord,"North Carolina",28027,South,"Office Supplies",Paper,OFF-PA-10002365,3,0.60,19.40
14,"2023-07-18 00:00:00","Standard Class",Consumer,"United States",Seattle,Washington,98103,West,"Office Supplies",Binders,OFF-BI-10003656,3,8.20,401.80
15,"2023-11-09 00:00:00",unknown,"Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Appliances,OFF-AP-10002311,5,3.50,66.50
16,"2022-06-18 00:00:00","Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Binders,OFF-BI-10000756,3,0.00,0.00
17,"2022-02-04 00:00:00","Standard Class",Consumer,"United States",Madison,Wisconsin,53711,Central,"Office Supplies",Storage,OFF-ST-10004186,6,20.10,649.90
18,"2023-08-04 00:00:00","Second Class",Consumer,"United States","West Jordan",Utah,84084,West,"Office Supplies",Storage,OFF-ST-10000107,2,2.40,57.60
19,"2022-01-23 00:00:00","Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Art,OFF-AR-10003056,2,0.40,9.60
20,"2022-01-11 00:00:00","Second Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Phones,TEC-PH-10001949,3,6.30,203.70
21,"2022-10-05 00:00:00","Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,OFF-BI-10002215,4,0.40,19.60
22,"2023-07-16 00:00:00","Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Art,OFF-AR-10000246,7,0.80,19.20
23,"2023-05-06 00:00:00","Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Appliances,OFF-AP-10001492,7,1.80,58.20
24,"2023-05-21 00:00:00","Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,2,2.80,67.20
25,"2023-02-24 00:00:00","Standard Class",Consumer,"United States",Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,3,52.00,988.00
26,"2022-06-20 00:00:00","Second Class",Consumer,"United States","Los Angeles",California,90049,West,"Office Supplies",Binders,OFF-BI-10001634,2,0.50,9.50
27,"2022-02-08 00:00:00","Second Class",Consumer,"United States","Los Angeles",California,90049,West,Technology,Accessories,TEC-AC-10003027,3,2.70,87.30
28,"2023-12-11 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,7,92.40,2987.60
29,"2022-08-21 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,OFF-BI-10000474,2,0.50,9.50
30,"2022-08-14 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,3,4.80,115.20
31,"2022-11-20 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Envelopes,OFF-EN-10001509,2,0.00,0.00
32,"2023-01-19 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,OFF-AR-10004042,6,3.60,86.40
33,"2023-01-30 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,OFF-BI-10001525,6,0.50,9.50
34,"2022-06-03 00:00:00","Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,OFF-AR-10001683,2,0.80,19.20
35,"2022-09-28 00:00:00","Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Paper,OFF-PA-10000249,3,0.90,29.10
36,"2022-10-30 00:00:00","First Class",Corporate,"United States",Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,7,55.00,1045.00
37,"2023-07-27 00:00:00","First Class",Corporate,"United States",Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,5,7.60,182.40
38,"2023-03-07 00:00:00","Standard Class","Home Office","United States",Houston,Texas,77041,Central,"Office Supplies",Envelopes,OFF-EN-10002986,9,2.20,107.80
39,"2023-08-18 00:00:00","Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,3,10.60,519.40
40,"2022-01-20 00:00:00","Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,3,4.20,205.80
41,"2023-06-29 00:00:00","Standard Class","Home Office","United States",Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,4,18.50,351.50
42,"2022-06-28 00:00:00","Standard Class",Corporate,"United States",Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,4,4.50,145.50
43,"2023-02-09 00:00:00","Standard Class",Corporate,"United States","Los Angeles",California,90049,West,"Office Supplies",Storage,OFF-ST-10003479,2,4.00,76.00
44,"2023-09-18 00:00:00","Standard Class",Corporate,"United States",Melbourne,Florida,32935,South,"Office Supplies",Storage,OFF-ST-10003282,2,4.00,96.00
45,"2022-11-11 00:00:00","First Class",Corporate,"United States",Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,2,1.00,49.00
46,"2022-05-27 00:00:00","First Class",Corporate,"United States",Eagan,Minnesota,55122,Central,"Office Supplies",Binders,OFF-BI-10003291,2,1.00,19.00
47,"2023-02-03 00:00:00","Second Class",Consumer,"United States",Westland,Michigan,48185,Central,"Office Supplies",Storage,OFF-ST-10001713,4,8.40,201.60
48,"2022-02-16 00:00:00","Standard Class",Consumer,"United States",Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,3,2.50,47.50
49,"2022-05-06 00:00:00","Standard Class",Consumer,"United States",Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,2,0.80,19.20
50,"2023-06-18 00:00:00","Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,"Office Supplies",Binders,OFF-BI-10004410,6,1.60,38.40
51,"2022-01-11 00:00:00","Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,"Office Supplies",Labels,OFF-LA-10002762,6,3.20,76.80
52,"2023-09-09 00:00:00","Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,2,0.40,9.60
53,"2022-01-31 00:00:00","Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,1,4.50,85.50
54,"2023-07-30 00:00:00","Standard Class",Corporate,"United States","New York City","New York",10024,East,"Office Supplies",Fasteners,OFF-FA-10000304,7,0.60,19.40
55,"2023-10-17 00:00:00","Standard Class",Corporate,"United States","New York City","New York",10024,East,Technology,Phones,TEC-PH-10002447,5,41.20,988.80
56,"2023-07-06 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Storage,OFF-ST-10000604,6,10.50,199.50
57,"2023-09-15 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Paper,OFF-PA-10001569,5,1.50,28.50
58,"2022-08-09 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,Furniture,Chairs,FUR-CH-10003968,5,6.40,313.60
59,"2022-04-05 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Paper,OFF-PA-10000587,2,0.40,9.60
60,"2023-06-24 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,Technology,Accessories,TEC-AC-10002167,2,1.50,28.50
61,"2022-03-10 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Binders,OFF-BI-10001460,4,1.00,49.00
62,"2023-04-08 00:00:00","First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Art,OFF-AR-10001868,1,0.00,0.00
63,"2023-10-16 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Technology,Accessories,TEC-AC-10004633,2,0.30,9.70
64,"2023-08-02 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Binders,OFF-BI-10001078,6,0.60,29.40
65,"2022-11-05 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,OFF-PA-10003892,3,7.50,142.50
66,"2022-05-06 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Furnishings,FUR-FU-10000397,4,1.60,78.40
67,"2022-03-26 00:00:00","Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,5,10.50,199.50
68,"2022-04-10 00:00:00","Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,"Office Supplies",Art,OFF-AR-10002671,8,33.30,1076.70
69,"2022-08-12 00:00:00","Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,4,5.10,164.90
70,"2022-02-25 00:00:00","First Class",Consumer,"United States",Springfield,Virginia,22153,South,"Office Supplies",Paper,OFF-PA-10000482,2,1.60,78.40
71,"2022-11-29 00:00:00","Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,OFF-BI-10004654,1,0.00,0.00
72,"2022-12-18 00:00:00","Second Class",Consumer,"United States",Jackson,Michigan,49201,Central,"Office Supplies",Paper,OFF-PA-10004675,3,0.60,19.40
73,"2023-03-07 00:00:00","Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,8,16.60,813.40
74,"2023-07-12 00:00:00","Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,2,3.00,97.00
75,"2022-10-21 00:00:00","Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,"Office Supplies",Storage,OFF-ST-10004123,1,1.40,68.60
76,"2023-04-17 00:00:00","First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Binders,OFF-BI-10004182,3,0.00,0.00
77,"2023-05-20 00:00:00","First Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,3,0.40,9.60
78,"2023-05-13 00:00:00","First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Storage,OFF-ST-10000615,3,0.60,29.40
79,"2022-10-20 00:00:00","Second Class",Consumer,"United States",Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,5,0.40,19.60
80,"2023-10-22 00:00:00","First Class",Corporate,"United States",Decatur,Alabama,35601,South,"Office Supplies",Appliances,OFF-AP-10002118,1,6.30,203.70
81,"2022-07-20 00:00:00","First Class",Corporate,"United States",Decatur,Alabama,35601,South,"Office Supplies",Binders,OFF-BI-10002309,3,0.40,19.60
82,"2022-11-16 00:00:00","Standard Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Art,OFF-AR-10002053,5,0.50,9.50
83,"2022-11-10 00:00:00","Standard Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Storage,OFF-ST-10002370,1,0.80,19.20
84,"2022-03-15 00:00:00","Standard Class",Corporate,"United States",Durham,"North Carolina",27707,South,"Office Supplies",Envelopes,OFF-EN-10000927,7,6.00,194.00
85,"2023-10-03 00:00:00","First Class","Home Office","United States",Chicago,Illinois,60623,Central,"Office Supplies",Storage,OFF-ST-10003656,3,4.60,225.40
86,"2022-03-20 00:00:00","Second Class",Consumer,"United States",Columbia,"South Carolina",29203,South,Furniture,Chairs,FUR-CH-10000863,2,15.00,285.00
87,"2023-12-04 00:00:00","Standard Class",Consumer,"United States",Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,1.00,19.00
88,"2023-11-24 00:00:00","Standard Class",Consumer,"United States",Rochester,Minnesota,55901,Central,"Office Supplies",Labels,OFF-LA-10000134,2,0.50,9.50
89,"2023-12-30 00:00:00","Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Storage,OFF-ST-10003442,7,8.00,152.00
90,"2022-05-23 00:00:00","Standard Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Art,OFF-AR-10004930,3,0.40,19.60
91,"2023-04-06 00:00:00","Standard Class",Corporate,"United States","Los Angeles",California,90036,West,Technology,Phones,TEC-PH-10004093,2,1.40,68.60
92,"2022-03-23 00:00:00","Standard Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Paper,OFF-PA-10000304,1,0.20,9.80
93,"2023-04-07 00:00:00","Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,"Office Supplies",Paper,OFF-PA-10003177,2,0.20,9.80
94,"2022-05-13 00:00:00","Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,2.50,47.50
95,"2022-04-23 00:00:00","Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,"Office Supplies",Binders,OFF-BI-10002852,2,0.90,29.10
96,"2023-12-17 00:00:00","Standard Class","Home Office","United States",Portland,Oregon,97206,West,"Office Supplies",Binders,OFF-BI-10004738,1,0.20,9.80
97,"2022-04-28 00:00:00","Second Class","Home Office","United States","New York City","New York",10009,East,Furniture,Furnishings,FUR-FU-10000629,7,5.00,95.00
98,"2023-06-14 00:00:00","First Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Binders,OFF-BI-10001721,3,2.00,48.00
99,"2023-02-05 00:00:00","Standard Class",Corporate,"United States","Saint Paul",Minnesota,55106,Central,"Office Supplies",Appliances,OFF-AP-10000358,6,2.40,77.60
100,"2023-12-30 00:00:00","Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Paper,OFF-PA-10003256,7,1.80,58.20
101,"2022-02-24 00:00:00","Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,5.00,95.00
102,"2022-07-25 00:00:00","Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Binders,OFF-BI-10002609,3,0.00,0.00
103,"2022-01-14 00:00:00","Second Class",Consumer,"United States",Rochester,Minnesota,55901,Central,"Office Supplies",Paper,OFF-PA-10004040,4,0.80,19.20
104,"2022-12-22 00:00:00","Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,7.20,232.80
105,"2022-06-09 00:00:00","Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,5.00,95.00
106,"2023-10-28 00:00:00","Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Binders,OFF-BI-10002794,3,2.00,38.00
107,"2022-10-18 00:00:00","Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Accessories,TEC-AC-10003499,8,3.50,66.50
108,"2022-11-23 00:00:00","Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Phones,TEC-PH-10002844,1,0.90,29.10
